cntry,country,essround_yr,wellbeing_men,wellbeing_woman,media_men,media_woman,internet_men,internet_woman,relig_men,relig_woman,social_men,social_woman,finstab_men,finstab_woman,conservatism_men,conservatism_woman,trust_men,trust_woman
ES,Spain,2006,4.61,4.35,2.48,2.37,3.17,2.75,2.44,3.26,4.01,3.84,4.65,4.47,3.0,3.02,3.37,3.46
FI,Finland,2006,4.81,4.71,2.62,2.61,4.25,3.98,2.52,3.23,3.78,3.9,4.51,4.43,3.35,3.17,4.35,4.33
FR,France,2006,4.42,4.16,2.54,2.47,3.6,3.18,2.12,2.52,4.05,3.97,4.58,4.47,3.15,3.08,3.3,3.34
GB,United Kingdom,2006,4.51,4.27,2.78,2.66,3.91,3.45,2.32,2.81,3.78,3.83,4.74,4.68,3.25,3.21,3.36,3.43
HU,Hungary,2006,3.93,3.77,2.63,2.53,2.32,2.06,2.38,3.04,3.16,2.94,3.51,3.41,3.65,3.7,2.97,3.07
IE,Ireland,2006,4.67,4.49,2.9,2.81,3.36,3.29,3.54,3.99,3.76,3.63,4.93,4.82,3.02,3.06,3.54,3.49
NL,Netherlands,2006,4.59,4.43,2.62,2.59,4.57,4.18,2.56,2.86,3.97,4.08,4.92,4.72,3.03,2.92,3.84,3.79
NO,Norway,2006,4.95,4.76,2.68,2.65,4.85,4.38,2.18,2.63,4.11,4.17,5.17,4.98,3.19,3.0,3.98,4.07
PL,Poland,2006,4.32,4.12,2.58,2.6,2.91,2.67,3.89,4.5,3.43,3.31,3.85,3.74,3.42,3.4,2.76,2.85
PT,Portugal,2006,4.05,3.79,2.58,2.38,2.65,2.16,3.05,3.91,4.22,4.05,3.74,3.35,3.36,3.43,2.99,2.94
RU,Russian Federation,2006,3.79,3.44,2.43,2.35,1.96,1.66,2.05,2.83,3.5,3.39,3.17,2.74,3.93,3.95,2.57,2.73
SE,Sweden,2006,4.89,4.66,2.54,2.53,4.74,4.28,2.03,2.43,3.99,3.98,5.26,5.01,2.92,2.81,3.87,3.81
SI,Slovenia,2006,4.49,4.32,2.47,2.47,3.68,3.33,2.53,3.12,3.66,3.38,4.98,4.72,3.45,3.34,3.01,3.11
SK,Slovakia,2006,4.13,3.91,2.71,2.67,3.09,2.82,3.09,3.8,3.69,3.47,3.69,3.54,3.52,3.47,3.07,3.11
UA,Ukraine,2006,3.49,3.17,2.58,2.53,1.7,1.47,2.81,3.59,3.72,3.69,2.76,2.46,3.84,3.82,2.1,2.16
AGGREGATE,,2008,4.37,4.14,2.62,2.54,3.72,3.34,2.71,3.23,3.72,3.6,3.84,3.55,3.35,3.31,3.28,3.26
BE,Belgium,2008,4.62,4.47,2.65,2.54,4.26,3.86,2.37,2.78,3.82,3.78,4.61,4.48,3.04,2.97,3.51,3.47
BG,Bulgaria,2008,3.62,3.34,2.61,2.5,2.55,2.52,2.33,2.99,3.92,3.78,2.73,2.5,3.38,3.24,2.14,2.21
CH,Switzerland,2008,4.92,4.77,2.48,2.43,4.54,4.08,2.7,3.24,3.88,3.79,4.28,4.02,2.99,2.9,3.99,4.0
CY,Cyprus,2008,4.78,4.53,2.7,2.5,3.15,2.97,3.53,4.36,3.55,3.27,4.23,3.99,3.49,3.36,3.8,3.71
CZ,Czechia,2008,4.25,4.06,2.6,2.56,3.73,3.38,1.65,2.05,3.6,3.42,3.22,2.99,3.43,3.3,2.9,2.93
DE,Germany,2008,4.44,4.23,2.61,2.57,4.23,3.77,2.34,2.72,3.63,3.62,3.85,3.62,3.04,2.94,3.64,3.64
DK,Denmark,2008,5.06,4.9,2.74,2.71,4.8,4.73,2.17,2.57,4.04,4.08,4.62,4.52,2.94,2.75,4.42,4.4
EE,Estonia,2008,4.04,3.97,2.85,2.82,4.28,4.04,2.0,2.43,3.46,3.36,4.03,3.71,3.7,3.55,3.36,3.37
ES,Spain,2008,4.58,4.38,2.47,2.29,3.32,3.08,2.52,3.11,3.9,3.75,3.81,3.68,3.01,2.96,3.26,3.3
FI,Finland,2008,4.81,4.69,2.59,2.59,4.57,4.35,2.45,3.28,3.76,3.84,4.21,4.0,3.27,3.09,4.32,4.33
FR,France,2008,4.44,4.17,2.55,2.49,4.11,3.78,2.08,2.46,4.01,4.04,4.25,4.03,2.95,2.95,3.36,3.39
GB,United Kingdom,2008,4.51,4.28,2.83,2.6,4.07,4.01,2.35,2.73,3.74,3.75,4.14,3.85,3.22,3.14,3.47,3.49
GR,Greece,2008,4.24,4.12,2.47,2.34,3.0,2.54,3.42,4.04,3.6,3.39,3.53,3.43,3.68,3.62,2.97,3.05
HR,Croatia,2008,4.37,4.29,2.67,2.55,3.21,3.19,3.31,4.01,3.82,3.76,3.65,3.64,3.72,3.52,2.58,2.6
HU,Hungary,2008,3.79,3.72,2.54,2.5,3.27,3.16,2.3,2.96,3.15,2.97,3.46,3.27,3.74,3.72,2.56,2.78
IE,Ireland,2008,4.67,4.56,2.83,2.75,3.92,3.83,3.61,4.09,3.76,3.67,3.74,3.68,2.99,2.96,3.46,3.45
IL,Israel,2008,4.81,4.58,2.7,2.58,4.12,3.72,3.17,2.94,3.9,3.73,3.58,3.4,3.46,3.32,3.09,3.2
LV,Latvia,2008,3.87,3.7,2.63,2.72,3.72,3.51,2.17,2.96,3.6,3.39,3.15,2.96,3.74,3.8,2.63,2.75
NL,Netherlands,2008,4.65,4.47,2.7,2.63,5.01,4.44,2.55,2.9,3.96,4.03,4.62,4.18,2.97,2.89,3.96,3.85
NO,Norway,2008,4.98,4.76,2.72,2.62,5.18,4.84,2.1,2.55,4.06,4.1,4.74,4.56,3.16,2.97,4.08,4.07
PL,Poland,2008,4.41,4.25,2.57,2.57,3.63,3.36,3.87,4.36,3.44,3.27,4.03,3.81,3.39,3.36,2.87,2.89
PT,Portugal,2008,4.04,3.75,2.52,2.35,3.12,2.55,3.08,4.01,3.91,3.6,3.39,2.97,3.27,3.36,2.91,2.95
RO,Romania,2008,4.01,3.85,2.82,2.68,2.71,2.67,3.63,4.16,3.19,2.98,3.47,3.26,3.7,3.74,2.84,2.88
RU,Russian Federation,2008,3.74,3.55,2.44,2.39,2.39,1.97,2.21,2.98,3.43,3.38,3.31,2.87,3.98,3.99,2.7,2.99
SE,Sweden,2008,4.89,4.68,2.52,2.49,4.98,4.59,1.94,2.39,4.01,4.06,4.84,4.64,2.91,2.7,3.84,3.92
SI,Slovenia,2008,4.52,4.26,2.49,2.55,4.11,3.58,2.53,3.08,3.63,3.33,4.22,3.8,3.39,3.33,3.14,3.11
SK,Slovakia,2008,4.15,3.95,2.67,2.73,3.39,2.78,2.99,3.99,3.5,3.35,3.92,3.67,3.49,3.51,2.97,3.2
TR,Turkey,2008,3.88,3.79,2.53,2.36,2.36,2.05,4.54,4.09,3.57,3.34,2.97,2.95,3.98,4.08,3.55,3.62
UA,Ukraine,2008,3.47,3.12,2.54,2.45,1.99,1.77,2.78,3.64,3.71,3.64,2.83,2.41,3.88,3.85,1.84,1.94
AGGREGATE,,2010,4.4,4.17,2.59,2.52,4.09,3.76,2.6,3.18,3.71,3.62,3.77,3.48,3.32,3.28,3.23,3.22
BE,Belgium,2010,4.72,4.52,2.69,2.57,4.57,4.38,2.19,2.7,3.87,3.84,4.29,4.03,3.07,3.0,3.48,3.45
BG,Bulgaria,2010,3.79,3.46,2.65,2.56,2.78,2.61,2.35,3.05,3.87,3.73,2.75,2.5,3.37,3.26,2.35,2.4
CH,Switzerland,2010,4.96,4.82,2.45,2.41,4.76,4.34,2.76,3.23,3.86,3.83,4.36,4.26,3.08,2.9,4.03,4.07
CY,Cyprus,2010,4.69,4.36,2.66,2.5,3.48,2.94,3.67,4.47,3.53,3.27,3.46,3.17,3.48,3.52,3.44,3.46
CZ,Czechia,2010,4.12,4.01,2.63,2.54,3.96,3.81,1.65,2.03,3.52,3.47,3.6,3.29,3.44,3.34,2.88,2.99
DE,Germany,2010,4.47,4.27,2.59,2.53,4.46,4.08,2.29,2.7,3.68,3.68,4.12,3.9,3.06,2.92,3.62,3.57
DK,Denmark,2010,5.04,4.88,2.71,2.64,5.13,5.13,2.12,2.57,4.04,4.11,4.68,4.5,2.9,2.73,4.38,4.31
EE,Estonia,2010,4.24,4.08,2.78,2.8,4.45,4.25,1.88,2.36,3.25,3.27,3.88,3.67,3.74,3.58,3.46,3.53
ES,Spain,2010,4.6,4.4,2.42,2.24,4.05,3.88,2.51,3.12,3.89,3.8,3.94,3.82,2.96,2.92,3.19,3.26
FI,Finland,2010,4.77,4.73,2.59,2.57,4.72,4.48,2.52,3.24,3.71,3.88,4.04,3.89,3.27,3.09,4.19,4.26
FR,France,2010,4.39,4.14,2.54,2.5,4.29,4.18,2.11,2.51,3.96,4.0,3.88,3.64,3.06,2.95,3.22,3.35
GB,United Kingdom,2010,4.53,4.34,2.67,2.52,4.46,4.29,2.26,2.71,3.74,3.75,3.98,3.76,3.15,3.1,3.47,3.47
GR,Greece,2010,4.08,3.88,2.5,2.36,3.26,3.04,3.54,4.13,3.34,3.08,3.04,2.79,3.72,3.72,2.59,2.67
HR,Croatia,2010,4.33,4.19,2.53,2.42,3.46,3.2,3.37,4.04,3.81,3.67,3.79,3.57,3.58,3.42,2.52,2.55
HU,Hungary,2010,3.99,3.84,2.53,2.42,3.6,3.5,2.26,2.95,3.13,2.9,3.43,3.23,3.72,3.63,3.06,3.21
IE,Ireland,2010,4.45,4.32,2.9,2.89,4.22,4.27,3.26,3.8,3.62,3.48,3.07,3.06,3.01,3.0,3.44,3.43
IL,Israel,2010,4.77,4.66,2.59,2.51,4.51,4.14,3.11,2.81,3.91,3.83,3.71,3.52,3.48,3.3,3.14,3.17
LT,Lithuania,2010,3.71,3.58,2.48,2.5,3.35,3.25,2.77,3.6,3.41,3.28,3.17,2.9,3.76,3.73,2.63,2.7
NL,Netherlands,2010,4.65,4.51,2.77,2.68,5.12,4.97,2.49,2.8,3.93,4.02,4.35,4.08,2.96,2.84,3.93,3.88
NO,Norway,2010,4.96,4.8,2.75,2.66,5.32,5.07,2.17,2.68,4.09,4.16,4.27,4.16,3.12,2.99,4.18,4.16
PL,Poland,2010,4.48,4.33,2.48,2.48,4.13,3.94,3.79,4.28,3.45,3.29,3.79,3.55,3.4,3.36,3.01,3.08
PT,Portugal,2010,4.09,3.84,2.48,2.31,3.31,2.71,3.09,3.89,4.17,3.94,3.7,3.37,3.39,3.43,2.73,2.79
RU,Russian Federation,2010,3.89,3.69,2.39,2.34,3.37,2.82,2.26,3.08,3.46,3.47,3.55,3.06,3.9,3.95,2.61,2.83
SE,Sweden,2010,4.95,4.68,2.53,2.48,5.03,5.03,1.93,2.42,4.01,4.01,4.66,4.41,2.89,2.67,4.08,4.1
SI,Slovenia,2010,4.55,4.4,2.43,2.44,4.15,3.95,2.52,3.01,3.59,3.44,3.95,3.73,3.49,3.44,2.75,2.7
SK,Slovakia,2010,4.11,3.99,2.69,2.68,3.66,3.27,3.2,3.89,3.53,3.34,3.88,3.51,3.51,3.57,2.76,2.93
UA,Ukraine,2010,3.59,3.32,2.38,2.3,2.59,2.27,2.86,3.62,3.69,3.68,2.79,2.56,3.84,3.79,2.07,2.13
AGGREGATE,,2012,4.45,4.22,3.27,3.25,,,2.61,3.11,3.52,3.47,3.77,3.5,3.31,3.25,3.29,3.26
AL,Albania,2012,4.08,3.93,3.62,3.24,,,3.24,3.58,3.43,3.03,2.51,2.42,3.58,3.55,2.59,2.86
BE,Belgium,2012,4.65,4.48,3.13,3.11,,,2.34,2.54,3.64,3.64,4.14,3.93,3.06,2.99,3.59,3.53
BG,Bulgaria,2012,3.7,3.39,3.84,3.86,,,2.52,3.19,3.39,3.26,2.79,2.5,3.34,3.22,2.22,2.27
CH,Switzerland,2012,4.99,4.79,2.67,2.64,,,2.75,3.18,3.81,3.83,4.4,4.16,3.1,2.99,4.11,4.18
CY,Cyprus,2012,4.59,4.32,3.47,3.36,,,3.74,4.49,3.27,3.12,3.11,2.94,3.62,3.59,3.11,3.06
CZ,Czechia,2012,4.25,4.08,3.56,3.54,,,1.61,1.98,3.32,3.31,3.89,3.5,3.51,3.36,3.0,2.91
DE,Germany,2012,4.56,4.38,3.11,3.05,,,2.41,2.72,3.69,3.73,4.09,4.01,2.95,2.83,3.75,3.72
DK,Denmark,2012,5.16,4.94,3.3,3.31,,,2.12,2.6,3.9,3.99,4.56,4.45,2.88,2.66,4.45,4.49
EE,Estonia,2012,4.11,3.98,3.27,3.31,,,1.92,2.42,3.03,3.09,3.87,3.54,3.62,3.49,3.34,3.36
ES,Spain,2012,4.54,4.26,3.14,3.12,,,2.56,3.1,3.68,3.57,3.61,3.49,2.87,2.89,2.94,2.89
FI,Finland,2012,4.88,4.75,3.05,3.08,,,2.43,3.05,3.59,3.69,4.22,3.93,3.15,3.02,4.35,4.31
FR,France,2012,4.41,4.17,3.44,3.42,,,2.2,2.64,3.81,3.87,3.83,3.64,3.14,3.05,3.3,3.41
GB,United Kingdom,2012,4.58,4.4,3.51,3.43,,,2.41,2.8,3.53,3.62,4.02,3.84,3.14,3.1,3.58,3.62
HU,Hungary,2012,3.89,3.87,3.19,3.14,,,2.16,2.77,2.97,2.9,3.32,3.22,3.65,3.56,3.15,3.26
IE,Ireland,2012,4.52,4.41,3.51,3.37,,,3.31,3.84,3.42,3.43,3.29,3.2,3.01,2.92,3.51,3.48
IL,Israel,2012,4.79,4.77,3.08,3.0,,,3.21,2.95,3.58,3.54,3.68,3.52,3.55,3.31,3.31,3.31
IS,Iceland,2012,5.06,4.85,2.87,2.89,,,2.46,3.11,3.74,3.96,3.91,3.73,2.8,2.53,3.87,3.98
IT,Italy,2012,4.42,4.16,3.11,3.12,,,3.16,3.82,3.44,3.36,3.67,3.38,3.19,3.15,3.12,3.06
LT,Lithuania,2012,3.9,3.77,3.39,3.34,,,2.79,3.53,3.0,2.94,3.93,3.54,3.8,3.74,3.01,3.12
NL,Netherlands,2012,4.72,4.53,3.34,3.34,,,2.41,2.73,3.86,3.92,4.45,4.13,2.93,2.82,3.96,3.87
NO,Norway,2012,5.07,4.81,3.17,3.15,,,2.17,2.6,3.88,3.98,4.35,4.21,3.08,2.91,4.23,4.26
PL,Poland,2012,4.5,4.35,3.12,3.04,,,3.72,4.27,3.38,3.26,3.71,3.51,3.35,3.29,2.82,2.89
PT,Portugal,2012,4.11,3.89,3.56,3.6,,,2.7,3.67,3.81,3.63,2.97,2.78,3.37,3.32,2.76,2.78
RU,Russian Federation,2012,3.89,3.67,3.15,3.28,,,2.34,2.95,3.28,3.22,3.83,3.41,4.05,4.07,2.56,2.73
SE,Sweden,2012,4.92,4.7,2.95,2.91,,,2.02,2.39,3.99,4.09,4.53,4.31,2.85,2.67,3.93,3.98
SI,Slovenia,2012,4.6,4.49,2.85,2.79,,,2.46,2.89,3.44,3.29,3.88,3.64,3.45,3.24,2.78,2.87
SK,Slovakia,2012,4.21,4.07,3.58,3.51,,,3.1,3.86,3.17,3.17,3.54,3.19,3.69,3.65,2.63,2.72
UA,Ukraine,2012,3.68,3.51,3.18,3.16,,,2.84,3.51,3.31,3.33,2.96,2.66,3.97,3.94,1.89,1.97
XK,Kosovo,2012,4.16,4.17,3.71,3.42,,,3.83,3.83,3.48,3.21,2.96,2.95,4.17,4.18,2.54,2.55
AGGREGATE,,2014,4.59,4.37,3.17,3.17,,,2.49,2.94,3.56,3.52,4.03,3.8,3.15,3.09,3.56,3.5
AT,Austria,2014,4.66,4.6,3.16,3.08,,,2.73,3.17,3.65,3.62,3.82,3.77,3.2,3.07,3.62,3.59
BE,Belgium,2014,4.66,4.5,3.08,3.12,,,2.35,2.6,3.72,3.64,4.12,4.07,3.06,2.94,3.54,3.51
CH,Switzerland,2014,4.96,4.81,2.65,2.62,,,2.74,3.15,3.8,3.86,4.32,4.18,3.08,2.9,4.15,4.19
CZ,Czechia,2014,4.37,4.18,3.3,3.37,,,1.71,1.98,3.26,3.23,3.71,3.42,3.45,3.34,3.34,3.2
DE,Germany,2014,4.61,4.35,3.08,3.03,,,2.35,2.68,3.71,3.75,4.34,4.16,2.89,2.8,3.78,3.65
DK,Denmark,2014,5.11,4.88,3.19,3.23,,,2.17,2.54,3.91,3.93,4.52,4.47,2.93,2.7,4.34,4.34
EE,Estonia,2014,4.19,4.01,3.17,3.32,,,2.03,2.61,3.02,3.08,4.05,3.83,3.56,3.52,3.47,3.47
ES,Spain,2014,4.54,4.34,3.27,3.21,,,2.3,3.07,3.77,3.64,3.77,3.69,2.76,2.86,3.1,3.08
FI,Finland,2014,4.84,4.72,3.13,3.05,,,2.41,3.1,3.61,3.75,4.08,3.99,3.17,3.0,4.24,4.18
FR,France,2014,4.43,4.11,3.28,3.37,,,2.26,2.74,3.74,3.77,4.08,3.7,3.03,2.96,3.33,3.34
GB,United Kingdom,2014,4.57,4.36,3.56,3.44,,,2.31,2.68,3.52,3.65,4.05,3.79,3.11,3.02,3.57,3.53
HU,Hungary,2014,3.97,3.94,3.19,3.2,,,2.15,2.69,2.99,2.87,3.86,3.75,3.66,3.57,3.07,3.21
IE,Ireland,2014,4.56,4.44,3.38,3.24,,,3.44,3.79,3.4,3.38,3.57,3.34,2.96,2.91,3.51,3.48
IL,Israel,2014,4.87,4.66,3.08,3.03,,,3.09,3.04,3.3,3.34,3.76,3.51,3.37,3.31,3.24,3.22
LT,Lithuania,2014,3.99,3.8,3.39,3.4,,,2.71,3.52,3.02,2.98,3.87,3.42,3.76,3.75,3.08,3.2
NL,Netherlands,2014,4.67,4.52,3.38,3.4,,,2.35,2.6,3.87,3.96,4.34,4.19,2.91,2.75,3.9,3.83
NO,Norway,2014,5.03,4.76,3.05,3.07,,,2.12,2.55,3.8,3.9,4.43,4.21,2.98,2.83,4.29,4.31
PL,Poland,2014,4.49,4.32,3.02,3.08,,,3.72,4.34,3.4,3.24,3.86,3.56,3.48,3.4,2.73,2.81
PT,Portugal,2014,4.17,3.93,3.15,3.19,,,3.11,3.8,3.69,3.51,3.61,3.21,3.2,3.24,2.98,2.84
SE,Sweden,2014,4.94,4.7,2.92,2.94,,,1.97,2.31,4.0,4.03,4.67,4.51,2.71,2.51,4.05,4.02
SI,Slovenia,2014,4.47,4.31,2.96,2.84,,,2.46,2.96,3.45,3.31,3.94,3.71,3.3,3.22,2.77,2.73
AGGREGATE,,2016,4.59,4.39,,,4.67,4.48,2.53,2.99,3.56,3.54,3.99,3.77,3.16,3.11,3.57,3.58
AT,Austria,2016,4.64,4.58,,,4.54,4.28,2.71,3.14,3.7,3.74,3.93,3.8,3.19,3.02,3.85,3.88
BE,Belgium,2016,4.71,4.49,,,4.93,4.82,2.31,2.65,3.71,3.75,4.23,4.08,2.93,2.82,3.64,3.65
CH,Switzerland,2016,5.01,4.88,,,5.19,4.81,2.62,3.14,3.85,3.88,4.34,4.2,2.98,2.88,4.2,4.21
CZ,Czechia,2016,4.32,4.19,,,4.74,4.57,1.68,1.98,3.28,3.36,3.8,3.57,3.45,3.34,3.37,3.47
