cntry,country,essround_yr,age_group,wellbeing_m_minus_w,wellbeing_color,wellbeing_men,wellbeing_woman,media_m_minus_w,media_color,media_men,media_woman,internet_m_minus_w,internet_color,internet_men,internet_woman,relig_m_minus_w,relig_color,relig_men,relig_woman,social_m_minus_w,social_color,social_men,social_woman,finstab_m_minus_w,finstab_color,finstab_men,finstab_woman,conservatism_m_minus_w,conservatism_color,conservatism_men,conservatism_woman,trust_m_minus_w,trust_color,trust_men,trust_woman
CH,Switzerland,2002,25-39,0.21,6,5.03,4.81,0.05,7.0,2.4,2.36,0.66,4.0,4.74,4.08,-0.41,10,2.71,3.12,-0.02,8,3.95,3.97,0.29,6.0,5.24,4.95,0.11,7,2.92,2.8,0.16,7,4.06,3.89
CH,Switzerland,2002,40-59,0.1,7,4.89,4.79,0.05,7.0,2.44,2.39,0.65,4.0,4.15,3.5,-0.46,10,2.86,3.32,-0.09,8,3.78,3.87,0.24,6.0,5.15,4.92,0.03,7,2.97,2.94,0.16,7,4.07,3.91
CH,Switzerland,2002,60+,0.23,6,4.74,4.52,-0.02,8.0,2.68,2.7,0.51,5.0,2.29,1.77,-0.66,11,3.17,3.83,-0.15,8,3.55,3.7,0.14,7.0,4.95,4.81,0.06,7,3.28,3.22,0.08,7,4.01,3.92
CH,Switzerland,2002,<25,0.1,7,4.88,4.78,0.17,7.0,2.26,2.09,0.12,7.0,4.61,4.49,-0.46,10,2.4,2.86,0.26,6,4.4,4.13,0.17,7.0,5.22,5.05,0.1,7,2.91,2.81,-0.0,8,3.97,3.98
CH,Switzerland,2002,AGGREGATE,0.17,7,4.89,4.72,0.02,7.0,2.48,2.45,0.66,4.0,3.86,3.2,-0.53,10,2.86,3.39,-0.04,8,3.82,3.86,0.23,6.0,5.13,4.9,0.05,7,3.03,2.98,0.13,7,4.04,3.91
CZ,Czechia,2002,25-39,0.0,7,4.26,4.26,-0.05,8.0,2.59,2.65,0.23,6.0,2.68,2.45,-0.19,8,1.71,1.9,0.06,7,3.63,3.57,0.09,7.0,3.8,3.71,0.14,7,3.43,3.29,-0.12,8,3.06,3.18
CZ,Czechia,2002,40-59,0.22,6,4.16,3.93,0.04,7.0,2.74,2.7,0.58,5.0,2.71,2.13,-0.3,9,1.72,2.02,0.19,7,3.42,3.23,0.54,5.0,4.07,3.53,0.02,7,3.41,3.39,0.16,7,3.01,2.85
CZ,Czechia,2002,60+,0.25,6,3.86,3.61,0.12,7.0,2.99,2.87,0.28,6.0,1.56,1.28,-0.54,10,2.37,2.92,0.0,7,3.23,3.22,0.31,6.0,3.79,3.48,0.06,7,3.63,3.58,0.02,7,3.04,3.02
CZ,Czechia,2002,<25,0.24,6,4.58,4.35,0.17,7.0,2.54,2.37,-0.09,8.0,3.7,3.79,-0.17,8,1.68,1.85,0.08,7,4.39,4.32,-0.27,9.0,3.82,4.1,0.16,7,3.41,3.24,0.3,6,3.26,2.95
CZ,Czechia,2002,AGGREGATE,0.2,6,4.1,3.89,0.06,7.0,2.79,2.73,0.38,6.0,2.36,1.97,-0.4,9,1.95,2.35,0.08,7,3.45,3.37,0.32,6.0,3.9,3.58,0.06,7,3.49,3.43,0.06,7,3.05,2.99
DE,Germany,2002,25-39,0.2,6,4.49,4.29,0.04,7.0,2.55,2.51,,,,,-0.45,10,2.12,2.57,0.0,7,3.84,3.84,-0.14,8.0,4.28,4.42,0.19,7,3.04,2.84,-0.01,8,3.58,3.58
DE,Germany,2002,40-59,0.06,7,4.27,4.21,0.07,7.0,2.72,2.64,,,,,-0.54,10,2.16,2.7,-0.21,9,3.5,3.71,-0.1,8.0,4.4,4.5,0.17,7,3.15,2.98,-0.05,8,3.55,3.6
DE,Germany,2002,60+,0.31,6,4.27,3.96,0.02,7.0,2.94,2.92,,,,,-0.45,10,2.58,3.03,0.01,7,3.45,3.44,0.2,7.0,4.75,4.55,-0.01,8,3.38,3.39,0.06,7,3.67,3.62
DE,Germany,2002,<25,0.41,5,4.72,4.3,-0.01,8.0,2.42,2.43,,,,,-0.01,8,2.14,2.15,0.25,6,4.39,4.13,0.24,6.0,4.69,4.45,0.13,7,2.95,2.82,0.19,7,3.69,3.51
DE,Germany,2002,AGGREGATE,0.21,6,4.38,4.16,0.04,7.0,2.71,2.67,,,,,-0.43,10,2.27,2.71,-0.03,8,3.68,3.71,0.02,7.0,4.52,4.49,0.11,7,3.17,3.05,0.02,7,3.61,3.59
DK,Denmark,2002,25-39,0.29,6,5.21,4.92,0.12,7.0,2.66,2.53,0.12,7.0,4.75,4.63,-0.46,10,2.01,2.47,0.02,7,4.13,4.11,0.24,6.0,5.22,4.98,0.15,7,3.02,2.86,-0.04,8,4.45,4.49
DK,Denmark,2002,40-59,0.14,7,5.18,5.03,0.08,7.0,2.85,2.77,0.43,5.0,4.25,3.82,-0.43,10,2.19,2.61,-0.23,9,3.89,4.11,0.0,7.0,5.4,5.4,0.15,7,2.99,2.84,-0.03,8,4.45,4.48
DK,Denmark,2002,60+,0.38,6,5.13,4.75,0.04,7.0,3.19,3.15,0.67,4.0,2.54,1.88,-0.53,10,2.46,2.99,-0.25,9,3.66,3.91,0.15,7.0,5.41,5.26,0.1,7,3.25,3.15,0.12,7,4.43,4.31
DK,Denmark,2002,<25,0.45,5,5.17,4.72,-0.01,8.0,2.45,2.46,0.22,6.0,5.12,4.9,-0.19,8,1.95,2.14,-0.07,8,4.44,4.51,0.01,7.0,5.14,5.13,0.19,7,2.91,2.72,0.07,7,4.3,4.23
DK,Denmark,2002,AGGREGATE,0.28,6,5.17,4.89,0.09,7.0,2.85,2.77,0.33,6.0,4.01,3.68,-0.42,10,2.19,2.61,-0.16,8,3.95,4.11,0.11,7.0,5.33,5.22,0.15,7,3.06,2.9,0.02,7,4.43,4.41
ES,Spain,2002,25-39,0.08,7,4.54,4.46,0.2,6.0,2.62,2.42,0.72,4.0,2.91,2.19,-0.42,10,2.14,2.56,0.0,7,3.88,3.87,-0.04,8.0,4.52,4.57,-0.03,8,2.87,2.9,-0.13,8,2.99,3.13
ES,Spain,2002,40-59,0.13,7,4.38,4.26,0.08,7.0,2.63,2.55,0.29,6.0,2.2,1.91,-0.81,12,2.42,3.23,0.11,7,3.83,3.72,0.02,7.0,4.42,4.4,-0.04,8,2.93,2.97,0.11,7,3.27,3.17
ES,Spain,2002,60+,0.26,6,4.16,3.9,-0.02,8.0,2.71,2.72,0.07,7.0,1.21,1.14,-1.24,14,2.98,4.22,0.13,7,3.54,3.4,0.24,6.0,4.2,3.96,-0.14,8,3.35,3.48,-0.08,8,3.29,3.36
ES,Spain,2002,<25,0.21,6,4.8,4.59,0.14,7.0,2.4,2.26,0.21,6.0,3.04,2.82,-0.28,9,1.99,2.26,-0.14,8,4.2,4.34,0.03,7.0,4.77,4.74,0.2,7,2.87,2.67,0.17,7,3.11,2.93
ES,Spain,2002,AGGREGATE,0.19,7,4.41,4.21,0.08,7.0,2.62,2.54,0.37,6.0,2.17,1.79,-0.85,12,2.47,3.32,0.09,7,3.8,3.71,0.11,7.0,4.42,4.31,-0.05,8,3.03,3.09,-0.01,8,3.19,3.2
FI,Finland,2002,25-39,-0.01,8,4.88,4.89,0.26,6.0,2.58,2.32,0.21,6.0,4.38,4.16,-0.62,11,2.36,2.98,-0.1,8,3.9,4.0,0.04,7.0,4.28,4.23,0.46,5,3.48,3.02,-0.19,8,4.17,4.35
FI,Finland,2002,40-59,0.06,7,4.75,4.69,0.07,7.0,2.66,2.59,-0.3,9.0,3.19,3.49,-0.83,12,2.58,3.41,-0.18,8,3.56,3.74,-0.07,8.0,4.37,4.45,0.16,7,3.31,3.15,-0.03,8,4.19,4.22
FI,Finland,2002,60+,0.22,6,4.72,4.5,0.01,7.0,2.98,2.97,0.14,7.0,1.83,1.69,-0.93,12,2.97,3.9,-0.1,8,3.65,3.74,0.12,7.0,4.59,4.47,0.07,7,3.62,3.55,0.1,7,4.3,4.2
FI,Finland,2002,<25,0.17,7,4.95,4.79,-0.02,8.0,2.33,2.35,0.02,7.0,4.6,4.58,-0.49,10,2.36,2.85,0.01,7,4.27,4.26,0.16,7.0,4.5,4.33,0.59,5,3.42,2.83,0.14,7,4.39,4.26
FI,Finland,2002,AGGREGATE,0.11,7,4.8,4.7,0.07,7.0,2.67,2.6,0.03,7.0,3.35,3.32,-0.77,11,2.59,3.36,-0.11,8,3.77,3.88,0.03,7.0,4.42,4.39,0.26,6,3.44,3.18,-0.0,8,4.25,4.25
FR,France,2002,25-39,0.22,6,4.59,4.37,0.14,7.0,2.53,2.39,,,,,-0.47,10,1.93,2.39,0.14,7,4.16,4.03,,,,,-0.01,8,2.83,2.84,-0.05,8,3.34,3.39
FR,France,2002,40-59,0.17,7,4.22,4.05,0.11,7.0,2.62,2.51,,,,,-0.34,9,2.09,2.43,0.03,7,3.82,3.79,,,,,0.08,7,3.1,3.03,0.04,7,3.37,3.32
FR,France,2002,60+,0.42,5,4.32,3.9,-0.01,8.0,2.74,2.75,,,,,-0.69,11,2.46,3.15,0.07,7,3.81,3.73,,,,,0.09,7,3.52,3.43,0.04,7,3.46,3.42
FR,France,2002,<25,0.27,6,4.73,4.46,0.0,7.0,2.4,2.4,,,,,-0.57,10,1.77,2.34,0.24,6,4.52,4.28,,,,,0.14,7,2.71,2.58,-0.04,8,3.49,3.53
FR,France,2002,AGGREGATE,0.27,6,4.41,4.14,0.07,7.0,2.61,2.53,,,,,-0.5,10,2.12,2.62,0.1,7,3.99,3.9,,,,,0.07,7,3.11,3.04,0.01,7,3.4,3.39
GB,United Kingdom,2002,25-39,0.24,6,4.58,4.34,0.21,6.0,2.78,2.57,0.45,5.0,3.96,3.51,-0.49,10,2.06,2.55,0.02,7,3.81,3.79,0.26,6.0,4.8,4.54,0.07,7,3.15,3.08,0.18,7,3.56,3.38
GB,United Kingdom,2002,40-59,0.25,6,4.46,4.22,0.24,6.0,2.87,2.63,0.36,6.0,3.49,3.13,-0.6,11,2.29,2.89,0.02,7,3.74,3.72,0.14,7.0,4.81,4.67,-0.01,8,3.2,3.21,0.1,7,3.5,3.4
GB,United Kingdom,2002,60+,0.32,6,4.47,4.15,0.0,7.0,3.01,3.01,0.37,6.0,1.8,1.43,-0.81,12,2.71,3.52,-0.16,8,3.76,3.92,0.11,7.0,4.93,4.82,0.2,6,3.63,3.43,-0.2,8,3.37,3.57
GB,United Kingdom,2002,<25,0.31,6,4.56,4.24,0.0,7.0,2.57,2.57,0.81,3.0,4.35,3.55,-0.18,8,2.12,2.3,0.31,6,4.4,4.09,0.21,6.0,4.77,4.56,0.24,6,3.24,3.0,0.03,7,3.68,3.65
GB,United Kingdom,2002,AGGREGATE,0.27,6,4.5,4.23,0.14,7.0,2.86,2.73,0.4,5.0,3.14,2.73,-0.58,10,2.36,2.94,-0.01,8,3.83,3.84,0.17,7.0,4.84,4.67,0.11,7,3.33,3.22,0.02,7,3.49,3.47
GR,Greece,2002,25-39,0.13,7,4.56,4.43,0.08,7.0,2.49,2.41,0.51,5.0,2.33,1.82,-0.53,10,3.59,4.13,0.25,6,3.73,3.49,0.16,7.0,3.65,3.49,-0.13,8,3.45,3.59,-0.05,8,3.46,3.5
GR,Greece,2002,40-59,0.31,6,4.41,4.1,0.17,7.0,2.57,2.41,0.43,5.0,1.82,1.39,-0.67,11,3.77,4.44,0.36,6,3.55,3.19,0.23,6.0,3.55,3.32,-0.11,8,3.56,3.67,0.17,7,3.77,3.6
GR,Greece,2002,60+,0.27,6,4.0,3.72,0.24,6.0,2.6,2.36,0.1,7.0,1.22,1.12,-0.52,10,4.44,4.97,0.55,5,3.25,2.71,0.54,5.0,3.35,2.82,-0.16,8,4.04,4.2,-0.09,8,3.82,3.9
GR,Greece,2002,<25,0.27,6,4.76,4.5,0.0,7.0,2.35,2.35,0.71,4.0,2.62,1.91,-0.62,11,3.48,4.1,0.21,6,4.03,3.82,0.26,6.0,3.99,3.72,0.04,7,3.49,3.45,0.05,7,3.61,3.56
GR,Greece,2002,AGGREGATE,0.29,6,4.35,4.06,0.15,7.0,2.53,2.37,0.42,5.0,1.85,1.43,-0.63,11,3.92,4.54,0.43,5,3.56,3.13,0.37,6.0,3.56,3.19,-0.13,8,3.69,3.82,-0.01,8,3.68,3.69
HU,Hungary,2002,25-39,0.01,7,4.12,4.11,0.15,7.0,2.69,2.54,0.25,6.0,2.25,2.0,-0.71,11,2.05,2.76,0.11,7,3.33,3.22,-0.03,8.0,3.63,3.66,0.06,7,3.55,3.49,-0.19,8,3.16,3.34
HU,Hungary,2002,40-59,0.13,7,3.73,3.6,0.09,7.0,2.75,2.65,0.26,6.0,1.85,1.58,-0.55,10,2.34,2.89,0.07,7,2.89,2.82,0.23,6.0,3.48,3.24,0.0,7,3.57,3.57,0.12,7,3.28,3.16
HU,Hungary,2002,60+,0.08,7,3.56,3.47,0.06,7.0,2.82,2.76,0.06,7.0,1.35,1.29,-1.12,13,2.69,3.82,0.11,7,2.74,2.63,0.32,6.0,3.53,3.2,-0.14,8,3.59,3.73,-0.0,8,3.46,3.47
HU,Hungary,2002,<25,0.2,7,4.45,4.25,-0.28,9.0,2.33,2.6,0.3,6.0,3.45,3.16,-0.55,10,2.06,2.62,0.52,5,4.15,3.63,0.14,7.0,4.01,3.87,0.27,6,3.62,3.34,-0.28,9,3.24,3.52
HU,Hungary,2002,AGGREGATE,0.13,7,3.89,3.76,0.03,7.0,2.68,2.65,0.28,6.0,2.08,1.8,-0.8,12,2.31,3.11,0.2,7,3.16,2.96,0.2,6.0,3.61,3.41,0.02,7,3.57,3.56,-0.06,8,3.29,3.34
IE,Ireland,2002,25-39,0.21,6,4.82,4.6,0.07,7.0,2.89,2.82,0.54,5.0,3.61,3.07,-0.6,10,3.2,3.79,0.14,7,3.9,3.77,0.34,6.0,4.87,4.53,-0.04,8,2.96,3.0,0.12,7,3.51,3.39
IE,Ireland,2002,40-59,0.27,6,4.8,4.52,0.11,7.0,3.1,3.0,0.27,6.0,2.95,2.68,-0.57,10,3.76,4.33,0.23,6,3.78,3.56,0.15,7.0,4.66,4.51,0.0,7,3.09,3.09,0.05,7,3.64,3.59
IE,Ireland,2002,60+,0.22,6,4.65,4.43,0.0,7.0,3.32,3.32,0.26,6.0,1.83,1.57,-0.43,10,4.53,4.96,0.13,7,3.65,3.51,0.29,6.0,4.69,4.4,-0.05,8,3.3,3.35,0.03,7,3.75,3.73
IE,Ireland,2002,<25,0.37,6,4.89,4.52,0.2,7.0,2.75,2.55,-0.09,8.0,3.53,3.63,-0.34,9,3.22,3.56,0.22,6,4.44,4.23,0.21,6.0,4.95,4.75,0.13,7,2.99,2.86,0.13,7,3.47,3.33
IE,Ireland,2002,AGGREGATE,0.25,6,4.77,4.52,0.09,7.0,3.06,2.97,0.24,6.0,2.89,2.65,-0.48,10,3.75,4.24,0.18,7,3.87,3.69,0.24,6.0,4.76,4.52,0.01,7,3.1,3.09,0.08,7,3.61,3.54
IL,Israel,2002,25-39,0.13,7,4.68,4.55,0.19,7.0,2.68,2.49,0.55,5.0,3.3,2.75,0.38,6,3.11,2.72,0.05,7,3.94,3.9,0.32,6.0,3.77,3.45,-0.01,8,3.34,3.35,-0.17,8,3.54,3.72
IL,Israel,2002,40-59,0.12,7,4.48,4.36,0.04,7.0,2.82,2.79,0.43,5.0,2.85,2.42,0.27,6,3.01,2.74,0.05,7,3.69,3.64,0.18,7.0,3.69,3.5,-0.06,8,3.31,3.38,0.19,7,3.77,3.58
IL,Israel,2002,60+,0.44,5,4.34,3.9,0.01,7.0,3.08,3.07,0.38,6.0,1.94,1.57,0.16,7,2.9,2.74,-0.09,8,3.6,3.69,0.41,5.0,4.01,3.6,0.12,7,3.37,3.24,-0.24,9,3.77,4.02
IL,Israel,2002,<25,0.15,7,4.78,4.62,0.01,7.0,2.42,2.41,0.27,6.0,3.47,3.2,0.1,7,3.0,2.9,0.14,7,4.36,4.23,0.31,6.0,4.22,3.91,-0.07,8,3.35,3.42,0.15,7,3.69,3.54
IL,Israel,2002,AGGREGATE,0.21,6,4.58,4.37,0.06,7.0,2.75,2.69,0.44,5.0,2.94,2.49,0.24,6,3.01,2.77,0.05,7,3.89,3.84,0.29,6.0,3.88,3.6,-0.01,8,3.34,3.35,-0.01,8,3.68,3.7
IT,Italy,2002,25-39,0.28,6,4.56,4.28,0.01,7.0,2.47,2.45,0.69,4.0,3.61,2.92,-0.45,10,3.12,3.57,0.17,7,3.64,3.47,0.15,7.0,4.72,4.57,0.29,6,3.28,3.0,0.01,7,3.59,3.58
IT,Italy,2002,40-59,0.23,6,4.33,4.1,0.05,7.0,2.48,2.43,0.9,3.0,2.86,1.95,-0.83,12,3.14,3.97,0.15,7,3.41,3.26,-0.07,8.0,4.55,4.62,0.07,7,3.19,3.12,-0.07,8,3.58,3.64
IT,Italy,2002,60+,0.36,6,4.13,3.77,0.12,7.0,2.53,2.41,0.22,6.0,1.54,1.32,-1.09,13,3.34,4.43,0.22,6,3.37,3.14,0.32,6.0,4.69,4.37,-0.19,8,3.26,3.45,0.05,7,3.71,3.67
IT,Italy,2002,<25,0.24,6,4.54,4.3,-0.09,8.0,2.32,2.41,-0.02,8.0,2.86,2.88,-0.41,10,3.12,3.53,0.43,5,4.22,3.79,-0.27,9.0,4.42,4.69,0.06,7,3.09,3.03,0.14,7,3.63,3.49
IT,Italy,2002,AGGREGATE,0.28,6,4.36,4.08,0.04,7.0,2.46,2.42,0.58,5.0,2.69,2.11,-0.76,11,3.18,3.95,0.21,6,3.54,3.34,0.06,7.0,4.61,4.55,0.06,7,3.22,3.16,0.0,7,3.62,3.62
LU,Luxembourg,2002,25-39,0.25,6,4.78,4.53,0.13,7.0,2.61,2.47,0.63,4.0,4.19,3.56,-0.56,10,2.16,2.73,0.2,7,3.89,3.7,0.06,7.0,4.99,4.93,-0.0,8,2.8,2.8,0.21,6,3.95,3.73
LU,Luxembourg,2002,40-59,0.08,7,4.66,4.58,0.01,7.0,2.72,2.71,0.58,5.0,3.35,2.77,-0.56,10,2.36,2.93,0.06,7,3.7,3.64,-0.17,8.0,4.87,5.04,-0.01,8,2.89,2.9,0.14,7,3.95,3.82
LU,Luxembourg,2002,60+,0.37,6,4.75,4.38,-0.0,8.0,2.99,2.99,0.47,5.0,1.99,1.52,-0.64,11,2.77,3.41,0.21,6,3.69,3.48,0.12,7.0,5.2,5.08,-0.03,8,3.11,3.15,0.01,7,4.13,4.12
LU,Luxembourg,2002,<25,0.13,7,4.79,4.66,-0.0,8.0,2.4,2.4,0.34,6.0,4.75,4.41,-0.43,10,1.95,2.38,0.19,7,4.22,4.03,0.2,7.0,5.31,5.12,0.12,7,2.95,2.83,0.13,7,3.86,3.73
LU,Luxembourg,2002,AGGREGATE,0.2,6,4.74,4.54,0.03,7.0,2.69,2.66,0.54,5.0,3.53,2.99,-0.56,10,2.32,2.88,0.16,7,3.85,3.69,0.03,7.0,5.07,5.04,0.01,7,2.93,2.92,0.12,7,3.97,3.86
NL,Netherlands,2002,25-39,0.09,7,4.74,4.65,0.15,7.0,2.74,2.59,0.36,6.0,4.33,3.97,-0.2,8,2.51,2.71,-0.08,8,3.96,4.04,0.05,7.0,5.07,5.02,0.13,7,3.12,2.99,0.07,7,3.78,3.71
NL,Netherlands,2002,40-59,0.16,7,4.64,4.48,0.0,7.0,2.76,2.76,0.85,3.0,4.05,3.2,-0.31,9,2.57,2.88,0.02,7,3.89,3.87,0.14,7.0,5.12,4.99,0.08,7,3.07,2.99,0.14,7,3.74,3.6
NL,Netherlands,2002,60+,0.3,6,4.6,4.31,0.1,7.0,3.07,2.97,0.74,4.0,2.56,1.82,-0.39,9,3.02,3.41,-0.16,8,3.64,3.8,0.26,6.0,5.12,4.86,0.02,7,3.23,3.21,0.06,7,3.63,3.57
NL,Netherlands,2002,<25,0.22,6,4.76,4.55,0.06,7.0,2.47,2.41,0.06,7.0,4.69,4.63,-0.55,10,2.13,2.68,0.14,7,4.28,4.15,-0.12,8.0,4.92,5.04,0.21,6,3.12,2.91,0.06,7,3.76,3.71
NL,Netherlands,2002,AGGREGATE,0.18,7,4.66,4.48,0.06,7.0,2.82,2.75,0.66,4.0,3.75,3.1,-0.34,9,2.64,2.97,-0.04,8,3.88,3.91,0.13,7.0,5.09,4.96,0.09,7,3.13,3.05,0.09,7,3.72,3.63
NO,Norway,2002,25-39,0.23,6,5.0,4.78,0.15,7.0,2.6,2.45,0.35,6.0,4.57,4.22,-0.34,9,2.06,2.39,0.03,7,4.33,4.3,-0.03,8.0,4.93,4.96,0.25,6,3.29,3.05,0.03,7,4.03,4.0
NO,Norway,2002,40-59,0.21,6,4.91,4.7,0.11,7.0,2.75,2.64,0.51,5.0,4.18,3.68,-0.56,10,2.21,2.76,-0.0,8,4.15,4.15,0.1,7.0,5.12,5.02,0.16,7,3.26,3.1,0.02,7,4.02,4.0
NO,Norway,2002,60+,0.35,6,4.82,4.47,-0.15,8.0,3.01,3.16,0.7,4.0,2.28,1.58,-0.57,10,2.63,3.21,-0.23,9,3.77,4.01,0.28,6.0,5.27,4.99,0.13,7,3.48,3.35,0.12,7,4.0,3.88
NO,Norway,2002,<25,0.4,6,5.09,4.69,0.12,7.0,2.42,2.3,0.6,4.0,4.86,4.26,-0.5,10,1.97,2.48,0.01,7,4.58,4.57,0.18,7.0,5.02,4.84,0.25,6,3.27,3.02,-0.08,8,3.85,3.93
NO,Norway,2002,AGGREGATE,0.27,6,4.94,4.67,0.06,7.0,2.73,2.68,0.54,5.0,3.94,3.39,-0.5,10,2.24,2.73,-0.04,8,4.16,4.2,0.11,7.0,5.09,4.98,0.18,7,3.32,3.13,0.03,7,4.0,3.96
PL,Poland,2002,25-39,0.16,7,4.2,4.04,0.06,7.0,2.63,2.57,0.33,6.0,2.47,2.14,-0.57,10,3.7,4.28,0.18,7,3.51,3.33,0.19,7.0,3.8,3.61,0.07,7,3.34,3.28,-0.05,8,2.84,2.89
PL,Poland,2002,40-59,0.09,7,3.83,3.74,0.01,7.0,2.54,2.53,0.06,7.0,1.72,1.66,-0.62,11,3.86,4.48,0.16,7,3.15,2.99,0.0,7.0,3.4,3.4,0.04,7,3.47,3.43,-0.1,8,2.77,2.87
PL,Poland,2002,60+,0.25,6,3.72,3.48,0.16,7.0,2.79,2.63,0.13,7.0,1.27,1.15,-0.58,10,4.29,4.87,0.18,7,3.04,2.85,0.35,6.0,3.6,3.25,-0.01,8,3.7,3.71,0.02,7,2.93,2.91
PL,Poland,2002,<25,0.2,7,4.52,4.32,-0.17,8.0,2.44,2.6,0.04,7.0,2.99,2.94,-0.42,10,3.85,4.27,0.17,7,4.18,4.01,0.1,7.0,3.97,3.87,0.05,7,3.27,3.22,-0.01,8,2.95,2.96
PL,Poland,2002,AGGREGATE,0.19,7,4.05,3.86,0.01,7.0,2.59,2.58,0.18,7.0,2.09,1.91,-0.58,10,3.91,4.49,0.2,7,3.45,3.25,0.15,7.0,3.66,3.51,0.03,7,3.44,3.41,-0.05,8,2.86,2.9
PT,Portugal,2002,25-39,0.21,6,4.38,4.17,0.17,7.0,2.61,2.45,-0.25,9.0,1.95,2.2,-0.99,12,2.46,3.45,0.24,6,4.19,3.96,0.1,7.0,4.0,3.9,0.16,7,3.32,3.16,-0.09,8,2.88,2.97
PT,Portugal,2002,40-59,0.23,6,4.03,3.8,0.24,6.0,2.63,2.39,-0.22,9.0,2.11,2.33,-0.9,12,3.0,3.9,0.29,6,4.1,3.81,0.38,6.0,4.01,3.63,0.06,7,3.33,3.27,0.08,7,3.0,2.91
PT,Portugal,2002,60+,0.23,6,3.72,3.49,0.24,6.0,2.66,2.42,0.02,7.0,2.01,2.0,-0.97,12,3.52,4.49,0.21,6,3.74,3.52,0.41,5.0,3.48,3.07,-0.21,9,3.39,3.6,-0.18,8,3.01,3.19
PT,Portugal,2002,<25,0.19,7,4.6,4.41,-0.03,8.0,2.56,2.6,0.12,7.0,2.45,2.33,-0.82,12,2.53,3.35,0.04,7,4.38,4.34,0.32,6.0,4.23,3.91,-0.05,8,3.14,3.2,0.12,7,3.15,3.03
PT,Portugal,2002,AGGREGATE,0.25,6,4.1,3.85,0.19,7.0,2.62,2.43,-0.09,8.0,2.1,2.18,-0.96,12,2.97,3.93,0.24,6,4.05,3.81,0.34,6.0,3.87,3.53,-0.02,8,3.32,3.33,-0.04,8,3.0,3.03
SE,Sweden,2002,25-39,0.16,7,4.92,4.76,0.13,7.0,2.44,2.31,0.47,5.0,4.87,4.41,-0.34,9,1.99,2.33,0.04,7,4.12,4.08,0.27,6.0,5.06,4.8,0.33,6,2.92,2.6,-0.06,8,3.93,3.98
